id	label
0	Angry
1	Angry
2	Angry
3	Angry
4	Angry
5	Angry
6	Angry
7	Angry
8	Angry
9	Angry
10	Angry
11	Angry
12	Angry
13	Angry
14	Angry
15	Angry
16	Angry
17	Angry
18	Angry
19	Angry
20	Angry
21	Angry
22	Angry
23	Angry
24	Angry
25	Angry
26	Angry
27	Angry
28	Angry
29	Angry
30	Angry
31	Angry
32	Angry
33	Angry
34	Angry
35	Angry
36	Angry
37	Angry
38	Angry
39	Angry
40	Angry
41	Angry
42	Angry
43	Angry
44	Angry
45	Angry
46	Angry
47	Angry
48	Angry
49	Angry
50	Angry
51	Angry
52	Angry
53	Angry
54	Angry
55	Angry
56	Angry
57	Angry
58	Angry
59	Angry
60	Angry
61	Angry
62	Angry
63	Angry
64	Angry
65	Angry
66	Angry
67	Angry
68	Angry
69	Angry
70	Angry
71	Angry
72	Angry
73	Angry
74	Angry
75	Angry
76	Angry
77	Angry
78	Angry
79	Angry
80	Angry
81	Angry
82	Angry
83	Angry
84	Angry
85	Angry
86	Angry
87	Angry
88	Angry
89	Angry
90	Angry
91	Angry
92	Angry
93	Angry
94	Angry
95	Angry
96	Angry
97	Angry
98	Angry
99	Angry
100	Angry
101	Angry
102	Angry
103	Angry
104	Angry
105	Angry
106	Angry
107	Angry
108	Angry
109	Angry
110	Angry
111	Angry
112	Angry
113	Angry
114	Angry
115	Angry
116	Angry
117	Angry
118	Angry
119	Angry
120	Angry
121	Angry
122	Angry
123	Angry
124	Angry
125	Angry
126	Angry
127	Angry
128	Angry
129	Angry
130	Angry
131	Angry
132	Angry
133	Angry
134	Angry
135	Angry
136	Angry
137	Angry
138	Angry
139	Angry
140	Angry
141	Angry
142	Angry
143	Angry
144	Angry
145	Angry
146	Angry
147	Angry
148	Angry
149	Angry
150	Angry
151	Angry
152	Angry
153	Angry
154	Angry
155	Angry
156	Angry
157	Angry
158	Angry
159	Angry
160	Angry
161	Angry
162	Angry
163	Angry
164	Angry
165	Angry
166	Angry
167	Angry
168	Angry
169	Angry
170	Angry
171	Angry
172	Angry
173	Angry
174	Angry
175	Angry
176	Angry
177	Angry
178	Angry
179	Angry
180	Angry
181	Angry
182	Angry
183	Angry
184	Angry
185	Angry
186	Angry
187	Angry
188	Angry
189	Angry
190	Angry
191	Angry
192	Angry
193	Angry
194	Angry
195	Angry
196	Angry
197	Angry
198	Angry
199	Angry
200	Angry
201	Angry
202	Angry
203	Angry
204	Angry
205	Angry
206	Angry
207	Angry
208	Angry
209	Angry
210	Angry
211	Angry
212	Angry
213	Angry
214	Angry
215	Angry
216	Angry
217	Angry
218	Angry
219	Angry
220	Angry
221	Angry
222	Angry
223	Angry
224	Angry
225	Angry
226	Angry
227	Angry
228	Angry
229	Angry
230	Angry
231	Angry
232	Angry
233	Angry
234	Angry
235	Angry
236	Angry
237	Angry
238	Angry
239	Angry
240	Angry
241	Angry
242	Angry
243	Angry
244	Angry
245	Angry
246	Angry
247	Angry
248	Angry
249	Angry
250	Angry
251	Angry
252	Angry
253	Angry
254	Angry
255	Angry
256	Angry
257	Angry
258	Angry
259	Angry
260	Angry
261	Angry
262	Angry
263	Angry
264	Angry
265	Angry
266	Angry
267	Angry
268	Angry
269	Angry
270	Angry
271	Angry
272	Angry
273	Angry
274	Angry
275	Angry
276	Angry
277	Angry
278	Angry
279	Angry
280	Angry
281	Angry
282	Angry
283	Angry
284	Angry
285	Angry
286	Angry
287	Angry
288	Angry
289	Angry
290	Angry
291	Angry
292	Angry
293	Angry
294	Angry
295	Angry
296	Angry
297	Angry
298	Angry
299	Angry
300	Angry
301	Angry
302	Angry
303	Angry
304	Angry
305	Angry
306	Angry
307	Angry
308	Angry
309	Angry
310	Angry
311	Angry
312	Angry
313	Angry
314	Angry
315	Angry
316	Angry
317	Angry
318	Angry
319	Angry
320	Angry
321	Angry
322	Angry
323	Angry
324	Angry
325	Angry
326	Angry
327	Angry
328	Angry
329	Angry
330	Angry
331	Angry
332	Angry
333	Angry
334	Angry
335	Angry
336	Angry
337	Angry
338	Angry
339	Angry
340	Angry
341	Angry
342	Angry
343	Angry
344	Angry
345	Angry
346	Angry
347	Angry
348	Angry
349	Angry
350	Angry
351	Angry
352	Angry
353	Angry
354	Angry
355	Angry
356	Angry
357	Angry
358	Angry
359	Angry
360	Angry
361	Angry
362	Angry
363	Angry
364	Angry
365	Angry
366	Angry
367	Angry
368	Angry
369	Angry
370	Angry
371	Angry
372	Angry
373	Angry
374	Angry
375	Angry
376	Angry
377	Angry
378	Angry
379	Angry
380	Angry
381	Angry
382	Angry
383	Angry
384	Angry
385	Angry
386	Angry
387	Angry
388	Angry
389	Angry
390	Angry
391	Angry
392	Angry
393	Angry
394	Angry
395	Angry
396	Angry
397	Angry
398	Angry
399	Angry
400	Angry
401	Angry
402	Angry
403	Angry
404	Angry
405	Angry
406	Angry
407	Angry
408	Angry
409	Angry
410	Angry
411	Angry
412	Angry
413	Angry
414	Angry
415	Angry
416	Angry
417	Angry
418	Angry
419	Angry
420	Angry
421	Angry
422	Angry
423	Angry
424	Angry
425	Angry
426	Angry
427	Angry
428	Angry
429	Angry
430	Angry
431	Angry
432	Angry
433	Angry
434	Angry
435	Angry
436	Angry
437	Angry
438	Angry
439	Angry
440	Angry
441	Angry
442	Angry
443	Angry
444	Angry
445	Angry
446	Angry
447	Angry
448	Angry
449	Angry
450	Angry
451	Angry
452	Angry
453	Angry
454	Angry
455	Angry
456	Angry
457	Angry
458	Angry
459	Angry
460	Angry
461	Angry
462	Angry
463	Angry
464	Angry
465	Angry
466	Angry
467	Angry
468	Angry
469	Angry
470	Angry
471	Angry
472	Angry
473	Angry
474	Angry
475	Angry
476	Angry
477	Angry
478	Angry
479	Angry
480	Angry
481	Angry
482	Angry
483	Angry
484	Angry
485	Angry
486	Angry
487	Angry
488	Angry
489	Angry
490	Angry
491	Angry
492	Angry
493	Angry
494	Angry
495	Angry
496	Angry
497	Angry
498	Angry
499	Angry
500	Angry
501	Angry
502	Angry
503	Angry
504	Angry
505	Angry
506	Angry
507	Angry
508	Angry
509	Angry
510	Angry
511	Angry
512	Angry
513	Angry
514	Angry
515	Angry
516	Angry
517	Angry
518	Angry
519	Angry
520	Angry
521	Angry
522	Angry
523	Angry
524	Angry
525	Angry
526	Angry
527	Angry
528	Angry
529	Angry
530	Angry
531	Angry
532	Angry
533	Angry
534	Angry
535	Angry
536	Angry
537	Angry
538	Angry
539	Angry
540	Angry
541	Angry
542	Angry
543	Angry
544	Angry
545	Angry
546	Angry
547	Angry
548	Angry
549	Angry
550	Angry
551	Angry
552	Angry
553	Angry
554	Angry
555	Angry
556	Angry
557	Angry
558	Angry
559	Angry
560	Angry
561	Angry
562	Angry
563	Angry
564	Angry
565	Angry
566	Angry
567	Angry
568	Angry
569	Angry
570	Angry
571	Angry
572	Angry
573	Angry
574	Angry
575	Angry
576	Angry
577	Angry
578	Angry
579	Angry
580	Angry
581	Angry
582	Angry
583	Angry
584	Angry
585	Angry
586	Angry
587	Angry
588	Angry
589	Angry
590	Angry
591	Angry
592	Angry
593	Angry
594	Angry
595	Angry
596	Angry
597	Angry
598	Angry
599	Angry
600	Angry
601	Angry
602	Angry
603	Angry
604	Angry
605	Angry
606	Angry
607	Angry
608	Angry
609	Angry
610	Angry
611	Angry
612	Angry
613	Angry
614	Angry
615	Angry
616	Angry
617	Angry
618	Angry
619	Angry
620	Angry
621	Angry
622	Angry
623	Angry
624	Angry
625	Angry
626	Angry
627	Angry
628	Angry
629	Angry
630	Angry
631	Angry
632	Angry
633	Angry
634	Angry
635	Angry
636	Angry
637	Angry
638	Angry
639	Angry
640	Angry
641	Angry
642	Angry
643	Angry
644	Angry
645	Angry
646	Angry
647	Angry
648	Angry
649	Angry
650	Angry
651	Angry
652	Angry
653	Angry
654	Angry
655	Angry
656	Angry
657	Angry
658	Angry
659	Angry
660	Angry
661	Angry
662	Angry
663	Angry
664	Angry
665	Angry
666	Angry
667	Angry
668	Angry
669	Angry
670	Angry
671	Angry
672	Angry
673	Angry
674	Angry
675	Angry
676	Angry
677	Angry
678	Angry
679	Angry
680	Angry
681	Angry
682	Angry
683	Angry
684	Angry
685	Angry
686	Angry
687	Angry
688	Angry
689	Angry
690	Angry
691	Angry
692	Angry
693	Angry
694	Angry
695	Angry
696	Angry
697	Angry
698	Angry
699	Angry
700	Angry
701	Angry
702	Angry
703	Angry
704	Angry
705	Angry
706	Angry
707	Angry
708	Angry
709	Angry
710	Angry
711	Angry
712	Angry
713	Angry
714	Angry
715	Angry
716	Angry
717	Angry
718	Angry
719	Angry
720	Angry
721	Angry
722	Angry
723	Angry
724	Angry
725	Angry
726	Angry
727	Angry
728	Angry
729	Angry
730	Angry
731	Angry
732	Angry
733	Angry
734	Angry
735	Angry
736	Angry
737	Angry
738	Angry
739	Angry
740	Angry
741	Angry
742	Angry
743	Angry
744	Angry
745	Angry
746	Angry
747	Angry
748	Angry
749	Angry
750	Angry
751	Angry
752	Angry
753	Angry
754	Angry
755	Angry
756	Angry
757	Angry
758	Angry
